challengeID,grit
2,3.5
4,3.25
11,4
15,4
17,3.5
21,4
26,3.75
29,2.75
32,3.75
41,2.75
48,3.75
50,3.25
51,2.5
65,3
77,3.5
82,4
86,4
89,4
95,4
96,3
100,3.5
108,4
112,4
113,3.5
114,3.75
116,3.5
117,4
118,3.5
121,3.25
128,3.5
130,4
132,3
134,4
136,2.75
139,3.75
140,4
141,3.75
142,4
149,3
154,4
156,4
158,3.25
159,3.5
160,3
164,3
166,3.75
169,4
175,3.25
177,3
179,3.25
181,3.5
194,3.5
197,4
200,3.25
202,3.25
211,3.75
213,3.5
216,3.75
228,4
229,3.25
231,3.75
240,3.75
245,2
246,3
250,4
255,3.5
261,3.25
264,3
267,4
268,3.25
269,3
270,4
274,3.75
276,4
277,2.75
284,3.75
286,3.75
290,3.75
293,2.25
294,3
296,3.75
312,3
322,3.25
327,3.75
328,4
329,3.25
337,2.75
345,3.75
349,3.75
350,3.5
353,3.75
358,2.75
360,3.75
362,3.25
363,3.75
364,4
370,3.75
374,3.5
375,3.5
383,3.25
384,2
387,3
392,3.75
395,3.5
404,3.25
412,3.25
414,2.75
415,1.5
416,3.75
418,4
419,4
420,3.75
431,3
438,3.75
444,3.25
451,3.25
452,2.5
457,4
460,4
461,3.5
467,3.25
469,3.25
472,3
473,3.5
486,3.25
488,3
491,4
503,3.25
504,3
506,4
518,4
519,3.5
523,3.5
526,4
531,3.5
538,3.25
541,4
543,3
549,3.75
550,3.75
552,2.75
556,3.25
558,3.75
567,3.25
570,3
571,3
593,4
595,3.25
597,4
600,3.75
605,2.75
611,4
613,4
615,3.75
621,3.25
623,3.25
626,3.25
630,3.75
638,4
640,3.75
642,3.25
649,3.75
657,3
662,4
663,4
665,4
674,3
675,3.75
677,4
681,2.75
682,3.5
689,2.5
691,2.75
694,3
702,2.75
705,2.5
709,3.5
710,4
711,4
716,4
718,4
721,3.75
722,4
724,3.25
735,4
739,3.25
747,3.5
749,3.25
752,3
757,3.25
765,3
768,3.5
769,3.75
770,3.75
771,3
773,3.75
774,3.75
777,3.25
780,3.25
784,2.75
786,3
788,3.75
789,3.25
792,4
802,3.5
804,3.75
810,3
815,2.75
821,3.5
838,3
839,2.75
845,3.5
850,4
851,4
853,3.75
857,3.5
864,4
867,2.75
868,3.25
880,2.5
881,3.25
888,3
896,3
898,3
903,3
906,4
913,3.5
916,3.5
919,3.75
921,3.25
926,4
927,3.5
930,4
932,4
934,3.75
937,3.25
940,3.25
944,2.75
946,3
957,3.5
969,3.25
970,4
973,3.75
977,3.25
978,2.75
984,4
987,3
988,2.75
989,3.75
992,3.5
999,3.5
1015,2.75
1016,4
1020,4
1021,4
1022,2.5
1030,4
1031,2.5
1036,3
1037,4
1038,3
1046,2.75
1051,2.75
1054,3
1056,3.5
1057,3
1058,4
1061,3
1063,3.5
1068,4
1073,2.75
1074,3.5
1078,3
1080,3.75
1082,3
1084,3.5
1086,4
1088,3.25
1089,4
1093,3.25
1094,3.5
1101,3.25
1111,3.5
1112,3.25
1116,4
1117,3.5
1120,3.75
1121,3.5
1131,4
1132,3.5
1136,3.25
1137,4
1141,3.25
1142,3
1150,4
1151,3.25
1156,3.5
1162,3
1165,3
1168,3.5
1170,3.75
1175,3
1182,3.75
1186,2.5
1187,4
1188,2.75
1190,2.75
1191,4
1192,3.5
1197,2.5
1201,3.5
1202,3.75
1203,4
1208,4
1210,4
1213,1.75
1216,3.25
1217,3
1221,3.25
1224,3
1235,3.25
1236,3.75
1240,3.5
1244,4
1245,3.5
1260,3.5
1261,2.25
1270,3.25
1274,3
1281,4
1287,2.5
1290,4
1292,3.75
1296,3.25
1299,3.25
1309,3.75
1311,3.25
1313,2.75
1320,3.5
1324,4
1327,3.75
1328,3.25
1338,3
1343,3
1347,2.75
1354,3
1357,4
1360,3.5
1369,3
1370,3.25
1377,3.5
1380,3.25
1381,4
1385,3.5
1396,4
1406,4
1407,3.75
1409,3.5
1415,3.75
1419,4
1427,4
1429,4
1431,3
1438,4
1439,3.5
1440,3.5
1441,3.5
1443,3
1446,3.5
1451,4
1454,3.5
1455,3.25
1456,2.5
1457,3
1461,3.25
1464,3.75
1482,3
1489,3.25
1492,3.5
1493,3.75
1497,2.25
1502,4
1504,3.75
1507,4
1508,4
1515,3.5
1516,3.75
1519,3.25
1520,2.75
1522,3.25
1526,3.75
1531,3
1536,3.75
1541,3.75
1544,3.5
1548,3
1549,3.5
1558,1.75
1559,2.5
1575,3.25
1581,3.5
1582,4
1586,3
1595,4
1597,3.75
1601,4
1607,3
1617,4
1623,3.5
1644,3.5
1645,3.75
1649,4
1656,4
1665,2.5
1671,4
1683,2.75
1685,3.5
1687,3.75
1689,3.75
1693,4
1697,3.25
1698,4
1700,2.75
1704,4
1708,2.5
1710,3.75
1711,3.25
1714,3.75
1717,2.5
1718,4
1721,4
1728,3
1730,3.25
1731,3.75
1738,3.5
1742,4
1743,4
1749,4
1767,4
1770,3.5
1778,4
1779,3.25
1780,3.25
1781,3
1782,2.75
1789,3.75
1794,3.5
1805,4
1818,3
1828,3.5
1832,2.5
1840,3.25
1843,3.25
1845,3.75
1854,2.25
1855,4
1857,3
1862,3.25
1865,4
1867,2.75
1877,3.25
1882,3.5
1889,3.25
1890,4
1892,3
1895,3.25
1896,3.75
1898,4
1899,2.75
1902,4
1905,3
1908,4
1913,3.5
1915,2.25
1924,3.5
1929,2.75
1931,3.5
1934,4
1935,4
1939,3.5
1943,3.25
1944,3.25
1945,3.25
1946,3.5
1947,3.5
1948,3
1949,3.75
1951,4
1959,3.75
1961,2.75
1963,3.75
1964,2.25
1967,3.75
1974,3.5
1975,4
1977,3.75
1979,4
1982,3
1983,4
1984,3.25
1985,3.25
1987,4
1990,3
1991,3.75
1996,4
1998,3.75
1999,4
2000,3.25
2009,3.5
2011,3.25
2013,4
2017,3.5
2021,3.25
2023,3.5
2026,3.25
2031,4
2040,3.75
2044,3.5
2047,4
2053,4
2064,3.5
2068,3.25
2072,4
2074,4
2080,2.25
2081,4
2088,3.5
2098,3
2105,3
2106,3
2108,4
2116,3
2122,2.75
2123,3.25
2131,3.5
2132,3
2136,3.75
2138,3.5
2145,3.5
2152,3
2153,4
2159,4
2161,2.75
2163,3
2164,4
2167,4
2168,3.5
2170,3
2172,3.5
2176,3
2179,2.75
2183,3.5
2188,3
2191,2.75
2192,3
2202,3.25
2204,3.25
2214,3.75
2219,3
2225,4
2226,3.5
2229,3.75
2237,3
2240,3.25
2242,4
2245,3.75
2246,2.5
2247,3
2250,4
2252,3
2253,3.75
2254,4
2262,3
2269,2.5
2270,1.75
2275,3.75
2276,3
2281,4
2293,4
2299,3
2300,4
2303,3.75
2308,4
2318,3.25
2319,4
2320,3.5
2327,2.25
2330,3.5
2334,3.75
2343,4
2352,1.75
2360,3.75
2368,3.75
2371,2.75
2377,2.75
2388,3.5
2390,4
2393,3.75
2396,3.5
2400,4
2401,4
2402,3.5
2404,4
2405,2.75
2414,3.5
2417,3.5
2419,1.5
2421,3.25
2428,3.25
2429,3
2433,4
2435,3
2442,3.5
2451,3.25
2452,3.5
2454,3
2462,3.5
2467,3.75
2472,3.25
2474,4
2478,3.25
2482,4
2485,3.25
2488,2.5
2492,3.25
2495,2
2506,2.75
2510,4
2511,3.25
2513,3.25
2514,3.25
2515,2.5
2518,3.75
2519,1.75
2520,3.75
2529,3.5
2534,4
2538,4
2539,2.25
2548,3
2549,3.75
2550,3.5
2552,4
2555,3.25
2557,3
2563,4
2573,4
2574,4
2578,4
2586,4
2592,3
2593,3.75
2597,3
2599,2.5
2601,2.75
2602,4
2605,3.75
2619,2.75
2626,1.5
2654,3.25
2659,4
2662,3.75
2663,3
2666,3.75
2667,3.5
2671,3
2672,3.5
2687,3.25
2694,3.5
2697,4
2698,3.75
2699,2
2701,2.75
2703,3.5
2707,3.75
2709,3.25
2713,3.5
2715,3.75
2722,3.25
2732,3.25
2737,3.25
2738,3.75
2749,3.25
2754,3
2761,4
2763,3.5
2771,4
2774,3
2779,3.75
2781,3.25
2784,2.75
2793,3.75
2794,3
2797,4
2813,4
2817,4
2822,4
2824,3
2832,4
2837,3.75
2839,2.5
2840,3.25
2846,4
2851,3.25
2856,3.75
2862,3.75
2868,3.5
2870,4
2885,3.25
2889,3.25
2894,3
2899,2.75
2903,3
2904,3.25
2909,3.25
2921,4
2922,3.75
2923,3.75
2930,4
2932,3
2935,3.75
2938,3.25
2939,4
2944,2.5
2950,2.75
2951,2.5
2955,3.25
2956,3.5
2959,4
2963,3.5
2965,3.75
2977,2.75
2981,3.75
2985,3
2993,3.25
3000,3.75
3001,4
3004,4
3006,3
3014,4
3016,3.25
3024,3.25
3027,4
3033,3
3036,4
3037,3.25
3040,4
3041,2.5
3044,3.5
3045,1.75
3051,4
3062,4
3065,3.75
3066,4
3067,3.75
3073,3.25
3079,4
3090,3.25
3091,2.5
3092,3
3093,3.5
3094,4
3095,3
3097,4
3098,3.25
3108,3.75
3115,3.75
3118,3.75
3120,2.25
3124,3.25
3127,2.75
3133,3.5
3135,4
3140,2.75
3146,3.5
3157,4
3168,3.75
3171,4
3172,3
3176,4
3178,3.25
3181,3.5
3182,3.75
3183,3
3187,3.5
3188,3.75
3189,4
3194,3.75
3195,3.5
3209,3.75
3215,3.5
3218,2.75
3234,4
3235,3.25
3240,3.75
3245,3.5
3247,3.75
3253,3.5
3256,3
3258,3.25
3260,4
3261,2.75
3262,1.5
3269,3.5
3275,3.5
3276,3.25
3282,3
3287,2.5
3291,3
3292,3.25
3300,3
3302,3
3305,3.25
3306,3.5
3309,4
3314,4
3316,3.5
3318,4
3320,3.75
3321,2.75
3324,4
3326,3.25
3327,2.75
3342,2.75
3348,3.5
3349,4
3357,2.75
3358,3.25
3362,3
3372,3.75
3377,3.75
3383,3.25
3393,2.75
3403,3.75
3409,3.75
3414,3
3415,3.5
3418,3.25
3419,3.5
3421,4
3431,3.75
3435,3.75
3443,4
3447,3.75
3453,4
3454,2.75
3458,3.75
3462,3
3464,4
3465,3.5
3467,3.25
3469,3.25
3471,3.5
3472,3.25
3483,3
3489,3
3490,3
3491,3.5
3498,4
3499,4
3501,2.5
3508,4
3512,3
3513,3.5
3516,3.5
3525,4
3526,3.5
3527,4
3531,3.25
3533,3.25
3536,3.25
3542,3
3548,3.75
3551,3.25
3553,3.25
3555,4
3557,4
3558,3
3561,1.5
3564,2.5
3577,3
3584,3.75
3593,4
3597,3.75
3598,3.25
3600,3.25
3601,3.5
3603,2.75
3604,4
3607,3.25
3611,3.5
3614,3.75
3617,4
3622,2
3624,4
3626,3.5
3628,3.5
3630,3
3631,2.75
3635,1.25
3637,2.75
3641,3.75
3647,2.75
3653,3.25
3655,3
3657,4
3660,4
3662,3.5
3672,4
3673,3.5
3679,3.25
3682,4
3691,2.5
3693,2.75
3698,2.75
3712,3.75
3714,2.75
3717,3
3719,4
3722,3
3727,3.75
3729,4
3731,3
3732,3.25
3735,3.25
3737,3
3738,3.5
3739,2.5
3740,3.25
3748,3.75
3749,3.25
3750,4
3754,4
3756,3.25
3758,3
3764,3
3767,3
3768,3.25
3777,3.25
3784,3.75
3786,3
3787,2.75
3788,2.5
3790,3.5
3795,4
3796,4
3797,3.5
3805,3
3808,4
3810,3.75
3812,4
3817,2.75
3822,3.75
3827,3.75
3829,4
3840,4
3842,4
3845,3.75
3848,2.75
3859,3.5
3860,3.25
3861,3.75
3868,2.25
3875,3.5
3879,3.25
3880,3
3881,3.75
3886,3.5
3889,2.5
3890,3
3892,4
3896,3.75
3901,3
3903,4
3904,3.25
3906,4
3908,4
3912,3.25
3913,3
3917,3.75
3921,3.75
3929,3.75
3931,3
3933,3.25
3936,3.25
3945,3.25
3952,3.75
3954,4
3957,3
3966,4
3971,3
3975,3.25
3977,3.75
3978,3
3985,4
3986,3.75
3989,1.75
3990,3
3994,4
3997,4
3998,3
3999,4
4000,3.75
4001,3.25
4003,3.75
4010,3.5
4012,4
4018,3
4038,2.5
4039,4
4041,3.75
4046,2.25
4047,4
4050,4
4055,3.75
4057,3.75
4059,3.75
4065,3.75
4066,3
4067,3.75
4070,3
4079,3.5
4085,3.25
4089,3.5
4092,4
4094,2.75
4095,3.75
4096,3.25
4099,3.75
4101,3.25
4104,4
4107,3.75
4114,4
4115,4
4116,4
4117,3.75
4120,3.75
4123,3.75
4124,3.5
4126,3.75
4134,3.5
4143,3.5
4144,3.5
4145,2.75
4148,4
4149,3.5
4152,3.25
4154,3.75
4156,4
4161,2.75
4163,3.5
4169,2.5
4171,2.75
4174,3.25
4175,3.25
4176,3.25
4180,3
4186,3.5
4189,3.25
4190,3.5
4195,3.25
4196,3.25
4208,3.75
4209,3
4218,3
4219,3.5
4223,3.75
4226,4
4228,3.25
4230,2.75
4231,3.75
4233,3.25
4234,3.25
4237,4
4242,3.75
